,agua,potencia,ambiente
221,27.1,31.7,30.1
222,27.1,31.2,30.1
223,27.1,31.8,30.1
224,27.1,31.1,30.1
225,27.1,30.6,30.1
226,27.1,31.2,30.1
227,27.1,31.3,30.1
228,27.1,31.4,30.1
229,27.1,30.6,30.1
230,27.1,31.4,30.1
231,27.1,31.3,30.1
232,27.1,30.7,30.1
233,27.1,30.9,30.0
234,27.2,30.4,30.0
235,27.2,30.6,30.0
236,27.2,30.6,30.1
237,27.2,30.5,30.1
238,27.3,33.0,30.0
239,27.2,32.4,29.9
240,27.1,33.5,29.8
241,27.1,32.6,29.7
242,27.1,32.6,29.6
243,27.0,33.5,29.6
244,27.0,33.1,29.6
245,26.9,33.6,29.6
246,26.9,32.6,29.6
247,26.9,33.6,29.6
248,26.9,32.4,29.5
249,26.8,33.1,29.6
250,26.8,32.3,29.6
251,26.8,33.1,29.6
252,26.7,32.5,29.5
253,26.7,33.2,29.5
254,26.6,32.3,29.5
255,26.6,32.6,29.5
256,26.6,30.5,29.6
257,26.6,30.9,29.6
258,26.6,30.4,29.7
259,26.6,30.6,29.8
260,26.6,31.3,29.9
261,26.6,31.3,30.0
262,26.6,31.3,30.0
263,26.6,31.0,30.1
264,26.7,31.3,30.1
265,26.7,31.4,30.1
266,26.7,31.2,30.1
267,26.7,30.6,30.2
268,26.7,30.6,30.2
269,26.8,30.5,30.2
270,26.8,30.6,30.2
271,26.8,30.4,30.2
272,26.8,30.4,30.2
273,26.8,31.0,30.2
274,26.8,30.6,30.2
275,26.8,31.5,30.3
276,26.8,31.5,30.3
277,26.8,30.9,30.3
278,26.8,31.3,30.2
279,26.8,31.3,30.2
280,26.9,31.2,30.2
281,26.9,31.1,30.3
282,26.9,31.1,30.2
283,26.9,31.5,30.3
284,26.9,31.5,30.3
285,26.9,31.4,30.3
286,26.9,30.6,30.2
287,26.9,30.8,30.3
288,26.9,30.8,30.2
289,26.9,30.9,30.2
290,27.0,31.2,30.2
291,26.9,31.2,30.2
292,27.0,30.7,30.2
293,27.0,30.5,30.2
294,27.0,31.0,30.2
295,27.0,31.2,30.2
296,27.0,30.4,30.2
297,27.1,31.3,30.2
298,27.1,30.7,30.1
299,27.1,31.4,30.1
300,27.1,31.1,30.1
301,27.1,31.2,30.2
302,27.1,31.0,30.2
303,27.1,30.6,30.2
304,27.1,30.7,30.3
305,27.1,30.8,30.3
306,27.1,30.9,30.2
307,27.1,31.4,30.2
308,27.1,30.9,30.2
309,27.2,31.2,30.2
310,27.2,30.6,30.3
311,27.2,31.3,30.2
312,27.1,31.3,30.2
313,27.2,30.4,30.2
314,27.2,31.3,30.1
315,27.2,32.8,30.0
316,27.2,32.5,29.8
317,27.1,32.6,29.8
318,27.1,32.4,29.6
319,27.0,32.3,29.6
320,27.0,33.3,29.6
321,26.9,33.3,29.5
322,26.9,33.6,29.5
323,26.9,32.8,29.5
324,26.9,32.5,29.5
325,26.8,32.9,29.5
326,26.8,32.4,29.5
327,26.8,32.4,29.5
328,26.8,33.4,29.5
329,26.7,32.9,29.5
330,26.6,32.8,29.5
331,26.6,32.5,29.5
332,26.6,31.2,29.5
333,26.6,31.2,29.7
334,26.6,30.6,29.7
335,26.6,31.0,29.8
336,26.6,30.8,29.8
337,26.6,31.3,29.8
338,26.6,31.1,29.8
339,26.6,30.7,29.8
340,26.7,31.3,29.8
341,26.6,30.9,29.9
342,26.7,30.5,29.9
343,26.7,31.0,29.8
344,26.7,30.5,29.9
345,26.8,31.0,29.9
346,26.8,31.0,29.9
347,26.8,31.3,29.8
348,26.8,30.5,29.8
349,26.8,31.1,29.9
350,26.8,30.4,29.9
351,26.8,30.7,29.9
352,26.8,31.1,29.9
353,26.8,31.1,29.9
354,26.8,31.1,29.9
355,26.8,31.1,29.8
356,26.9,30.7,29.8
357,26.8,30.9,29.8
358,26.9,31.0,29.8
359,26.9,30.9,29.8
360,26.9,31.1,29.8
361,26.9,30.8,29.8
362,26.9,30.9,29.8
363,26.9,30.6,29.8
364,26.9,30.8,29.8
365,26.9,31.2,29.8
366,26.9,31.3,29.8
367,26.9,31.2,29.8
368,26.9,31.0,29.8
369,26.9,31.5,29.8
370,27.0,30.7,29.8
371,27.0,30.7,29.8
372,27.0,31.0,29.8
373,27.0,30.6,29.8
374,27.0,30.8,29.8
375,27.0,31.1,29.8
376,27.1,31.3,29.8
377,27.1,30.6,29.8
378,27.1,31.6,29.8
379,27.1,31.1,29.8
380,27.1,30.7,29.8
381,27.1,30.6,29.8
382,27.1,31.1,29.9
383,27.1,31.3,30.0
384,27.1,30.5,30.1
385,27.1,31.3,30.1
386,27.1,31.4,30.1
387,27.1,31.0,30.1
388,27.1,30.6,30.1
389,27.1,31.1,30.0
390,27.2,31.4,30.0
391,27.2,30.7,30.0
392,27.2,31.1,30.1
393,27.2,30.8,30.1
394,27.2,31.2,30.2
395,27.2,32.9,30.0
396,27.1,32.9,29.9
397,27.1,32.4,29.8
398,27.1,32.6,29.7
399,27.1,32.4,29.7
400,27.0,32.9,29.7
401,27.0,32.8,29.7
402,26.9,32.7,29.6
403,26.9,32.5,29.6
404,26.9,32.9,29.6
405,26.9,32.7,29.6
406,26.8,32.4,29.6
407,26.8,32.3,29.5
408,26.7,32.6,29.6
409,26.7,32.1,29.5
410,26.6,32.8,29.5
411,26.6,31.0,29.5
412,26.6,30.4,29.5
413,26.6,30.3,29.6
414,26.6,31.1,29.6
415,26.6,30.7,29.7
416,26.7,30.9,29.7
417,26.6,30.2,29.8
418,26.7,30.3,29.8
419,26.7,30.8,29.8
420,26.7,31.1,29.8
421,26.8,30.6,29.8
422,26.7,30.4,29.8
423,26.8,30.5,29.8
424,26.8,30.8,29.8
425,26.8,30.3,29.8
426,26.8,30.5,29.8
427,26.8,30.8,29.8
428,26.8,30.5,29.8
429,26.8,30.8,29.8
430,26.8,31.0,29.8
431,26.8,30.6,29.8
432,26.8,31.0,29.8
433,26.8,30.4,29.7
434,26.9,30.4,29.7
435,26.8,30.6,29.7
436,26.9,31.3,29.7
437,26.9,30.5,29.7
438,26.9,30.6,29.7
439,26.9,31.3,29.7
440,26.9,30.9,29.7
441,26.9,31.4,29.6
442,26.9,30.7,29.6
443,26.9,31.1,29.6
444,26.9,31.3,29.6
445,26.9,30.9,29.6
446,26.9,30.8,29.6
447,26.9,31.2,29.6
448,27.0,30.5,29.6
449,27.0,30.7,29.6
450,27.0,31.3,29.6
451,27.1,31.3,29.6
452,27.1,31.6,29.6
453,27.0,30.6,29.6
454,27.1,31.3,29.6
455,27.1,30.6,29.7
456,27.1,31.3,29.6
457,27.1,30.6,29.6
458,27.1,30.5,29.6
459,27.1,30.4,29.5
460,27.1,31.1,29.6
461,27.1,30.5,29.6
462,27.1,31.3,29.5
463,27.1,30.4,29.6
464,27.1,31.2,29.6
465,27.1,30.4,29.6
466,27.2,30.9,29.6
467,27.2,31.0,29.6
468,27.2,30.3,29.6
469,27.2,30.3,29.6
470,27.3,34.4,29.5
471,27.2,32.8,29.5
472,27.1,33.1,29.4
473,27.1,33.3,29.3
474,27.1,32.8,29.3
475,27.0,32.9,29.3
476,27.0,32.2,29.2
477,26.9,33.0,29.2
478,26.9,32.2,29.2
479,26.9,32.8,29.2
480,26.8,32.6,29.2
481,26.8,32.1,29.2
482,26.8,32.3,29.2
483,26.7,32.5,29.2
484,26.7,32.8,29.2
485,26.6,32.7,29.2
486,26.6,30.2,29.2
487,26.6,30.6,29.3
488,26.6,30.8,29.3
489,26.6,30.6,29.4
490,26.6,30.6,29.4
491,26.7,30.1,29.4
492,26.6,30.5,29.4
493,26.6,30.5,29.4
494,26.7,30.2,29.5
495,26.7,30.5,29.5
496,26.7,30.3,29.5
497,26.7,30.2,29.5
498,26.8,31.0,29.5
499,26.8,30.3,29.5
500,26.8,30.5,29.5
501,26.8,30.6,29.5
502,26.8,30.2,29.5
503,26.8,30.1,29.5
504,26.8,30.1,29.5
505,26.8,31.0,29.6
506,26.8,30.9,29.6
507,26.8,31.0,29.6
508,26.9,30.5,29.6
509,26.8,30.6,29.6
510,26.9,30.3,29.6
511,26.8,31.0,29.5
512,26.9,30.6,29.5
513,26.9,30.7,29.5
514,26.9,30.3,29.5
515,26.9,30.9,29.5
516,26.9,30.4,29.5
517,26.9,30.5,29.5
518,26.9,30.7,29.6
519,26.9,30.3,29.5
520,26.9,31.0,29.5
521,26.9,30.5,29.5
522,26.9,30.4,29.5
523,26.9,30.4,29.5
524,27.0,30.6,29.5
525,27.0,30.3,29.5
526,27.0,31.0,29.5
527,27.0,31.0,29.5
528,27.0,30.7,29.5
529,27.1,30.4,29.5
530,27.1,30.4,29.5
531,27.0,30.5,29.5
532,27.1,31.3,29.5
533,27.1,30.6,29.5
534,27.1,31.3,29.5
535,27.1,30.8,29.5
536,27.1,30.9,29.5
537,27.1,31.1,29.5
538,27.1,30.4,29.5
539,27.1,30.9,29.5
540,27.2,30.1,29.5
541,27.1,30.6,29.5
542,27.2,30.6,29.5
543,27.2,30.4,29.4
544,27.2,30.8,29.4
545,27.2,30.4,29.4
546,27.2,30.2,29.4
547,27.2,30.4,29.4
548,27.2,30.7,29.4
549,27.2,30.4,29.4
550,27.3,32.5,29.4
551,27.2,32.7,29.3
552,27.1,32.2,29.3
553,27.1,32.9,29.2
554,27.1,32.1,29.2
555,27.0,32.3,29.2
556,26.9,32.7,29.2
557,26.9,32.8,29.2
558,26.9,33.1,29.1
559,26.9,32.5,29.1
560,26.8,33.0,29.1
561,26.8,32.4,29.1
562,26.8,32.7,29.1
563,26.8,32.2,29.1
564,26.7,32.1,29.1
565,26.6,32.2,29.1
566,26.6,32.6,29.1
567,26.6,30.7,29.1
568,26.6,30.3,29.2
569,26.6,30.2,29.3
570,26.6,30.2,29.4
571,26.6,31.1,29.5
572,26.6,30.6,29.5
573,26.6,30.6,29.5
574,26.6,30.3,29.5
575,26.6,30.3,29.6
576,26.6,30.5,29.6
577,26.6,31.0,29.6
578,26.7,30.7,29.6
579,26.7,30.3,29.6
580,26.7,30.2,29.6
581,26.7,30.4,29.7
582,26.8,30.9,29.6
583,26.8,30.9,29.6
584,26.8,30.9,29.6
585,26.8,30.7,29.6
586,26.8,30.8,29.6
587,26.8,30.6,29.6
588,26.8,30.7,29.6
589,26.8,30.9,29.6
590,26.8,30.7,29.5
591,26.8,30.6,29.6
592,26.8,30.0,29.7
593,26.8,31.1,29.8
594,26.8,30.3,29.8
595,26.9,30.8,29.8
596,26.8,31.0,29.8
597,26.9,30.9,29.7
598,26.9,31.0,29.8
599,26.9,30.1,29.8
600,26.9,31.0,29.8
601,26.9,30.5,29.9
602,26.9,30.3,29.9
603,26.9,30.4,29.9
604,26.9,30.1,29.8
605,26.9,30.1,29.8
606,26.9,30.3,29.8
607,26.9,30.1,29.9
608,26.9,30.1,29.9
609,26.9,30.6,29.9
610,26.9,30.3,29.9
611,26.9,30.7,29.9
612,26.9,30.5,29.9
613,27.0,30.1,29.8
614,27.0,30.6,29.8
615,27.0,30.0,29.8
616,27.0,30.9,29.8
617,27.0,31.0,29.8
618,27.0,31.0,29.6
619,27.0,31.4,29.6
620,27.1,31.2,29.6
621,27.1,30.8,29.6
622,27.1,31.0,29.6
623,27.1,31.1,29.6
624,27.1,31.1,29.6
625,27.1,31.1,29.6
626,27.1,30.9,29.6
627,27.1,31.1,29.6
628,27.1,31.0,29.6
629,27.1,31.1,29.6
630,27.1,31.2,29.6
631,27.1,30.3,29.5
632,27.1,30.9,29.6
633,27.1,30.9,29.6
634,27.1,30.5,29.6
635,27.1,30.8,29.5
636,27.1,30.8,29.5
637,27.2,30.8,29.5
638,27.2,30.8,29.5
639,27.2,30.1,29.5
640,27.2,30.3,29.5
641,27.2,30.2,29.5
642,27.2,30.8,29.5
643,27.2,32.5,29.5
644,27.2,32.9,29.5
645,27.1,32.8,29.4
646,27.1,33.0,29.3
647,27.1,33.2,29.2
648,27.0,32.1,29.2
649,27.0,32.2,29.1
650,26.9,32.8,29.1
651,26.9,32.7,29.1
652,26.9,32.5,29.1
653,26.8,33.0,29.1
654,26.8,32.1,29.1
655,26.8,32.9,29.1
656,26.7,32.2,29.1
657,26.7,32.6,29.1
658,26.6,32.8,29.1
659,26.6,32.8,29.1
660,26.6,30.5,29.2
661,26.6,30.4,29.3
662,26.6,31.2,29.4
663,26.6,30.2,29.4
664,26.6,30.3,29.5
665,26.6,31.1,29.5
666,26.6,30.4,29.5
667,26.6,30.4,29.6
668,26.6,30.1,29.6
669,26.6,31.0,29.6
670,26.6,30.7,29.6
671,26.6,30.6,29.6
672,26.7,30.7,29.7
673,26.7,30.5,29.7
674,26.7,30.6,29.7
675,26.7,30.9,29.7
676,26.7,30.4,29.6
677,26.7,31.0,29.6
678,26.7,31.1,29.7
679,26.7,30.4,29.7
680,26.8,30.8,29.7
681,26.8,30.6,29.7
682,26.8,30.4,29.8
683,26.8,30.3,29.8
684,26.8,30.4,29.7
685,26.8,30.3,29.7
686,26.8,30.4,29.7
687,26.8,30.8,29.7
688,26.8,30.3,29.7
689,26.9,31.3,29.7
690,26.8,30.8,29.7
691,26.9,31.1,29.7
692,26.9,31.5,29.7
693,26.9,31.1,29.7
694,26.9,31.4,29.6
695,26.9,31.1,29.6
696,26.9,30.9,29.6
697,26.9,30.6,29.6
698,26.9,31.2,29.6
699,26.9,31.5,29.7
700,26.9,30.7,29.7
701,26.9,30.6,29.6
702,26.9,31.5,29.6
703,26.9,30.8,29.5
704,26.9,31.4,29.5
705,27.0,31.6,29.5
706,27.0,31.3,29.6
707,27.0,31.4,29.6
708,27.0,31.0,29.6
709,27.0,31.4,29.5
710,27.0,30.5,29.6
711,27.0,31.3,29.6
712,27.1,30.6,29.6
713,27.0,31.1,29.6
714,27.1,30.8,29.6
715,27.1,31.0,29.7
716,27.1,31.3,29.6
717,27.1,31.0,29.7
718,27.1,31.3,29.7
719,27.1,31.2,29.7
720,27.1,30.9,29.6
721,27.1,31.1,29.7
722,27.1,31.1,29.8
723,27.1,31.0,29.9
724,27.1,30.8,29.9
725,27.1,30.5,29.7
726,27.1,30.8,29.7
727,27.1,30.5,29.8
728,27.2,30.9,29.6
729,27.2,30.3,29.7
730,27.2,30.8,29.7
731,27.2,30.5,29.8
732,27.2,30.5,29.8
733,27.2,33.6,29.7
734,27.2,32.7,29.7
735,27.1,33.3,29.6
736,27.1,32.5,29.5
737,27.1,33.2,29.5
738,27.1,33.2,29.5
739,27.0,32.3,29.4
740,26.9,33.0,29.4
741,26.9,32.9,29.4
742,26.9,32.1,29.4
743,26.8,32.0,29.4
744,26.8,32.6,29.4
745,26.8,33.0,29.4
746,26.8,32.5,29.4
747,26.7,32.1,29.4
748,26.6,32.4,29.4
749,26.6,30.7,29.4
750,26.6,30.8,29.5
751,26.6,30.5,29.5
752,26.6,30.4,29.5
753,26.7,30.4,29.6
754,26.6,30.3,29.6
755,26.6,30.3,29.6
756,26.7,30.3,29.6
757,26.7,30.2,29.6
758,26.7,30.3,29.5
759,26.7,31.1,29.5
760,26.6,31.1,29.4
761,26.8,30.8,29.4
762,26.8,30.0,29.5
763,26.8,30.9,29.5
764,26.8,30.6,29.6
765,26.8,30.2,29.6
766,26.8,30.4,29.6
767,26.8,30.0,29.6
768,26.8,31.0,29.6
769,26.8,30.4,29.6
770,26.8,30.4,29.6
771,26.8,30.3,29.6
772,26.8,31.0,29.6
773,26.8,30.3,29.6
774,26.8,31.0,29.6
775,26.9,30.9,29.6
776,26.8,31.0,29.6
777,26.9,31.1,29.6
778,26.9,30.8,29.6
779,26.9,30.5,29.6
780,26.9,30.6,29.7
781,26.9,30.9,29.7
782,26.9,30.6,29.6
783,26.9,30.5,29.7
784,26.9,30.9,29.8
785,26.9,30.8,29.8
786,26.9,31.2,29.9
787,26.9,31.2,29.9
788,26.9,30.6,29.8
789,26.9,31.0,29.9
790,26.9,31.3,29.8
791,26.9,30.9,29.8
792,27.0,31.0,29.8
793,27.0,30.7,29.8
794,27.0,30.6,29.8
795,27.0,30.7,29.8
796,27.0,30.9,29.7
797,27.1,31.0,29.6
798,27.1,31.1,29.6
799,27.1,31.5,29.5
800,27.1,31.3,29.5
801,27.1,31.5,29.5
802,27.1,31.6,29.5
803,27.1,31.3,29.5
804,27.1,30.5,29.6
805,27.1,31.4,29.8
806,27.1,31.4,29.9
807,27.1,31.3,29.9
808,27.1,31.0,30.0
809,27.1,30.7,30.1
810,27.1,30.9,30.2
811,27.2,31.2,30.2
812,27.1,31.0,30.2
813,27.2,30.6,30.3
814,27.2,30.5,30.4
815,27.2,31.4,30.3
816,27.2,31.5,30.3
817,27.2,32.5,30.3
818,27.2,32.7,30.2
819,27.2,33.2,30.1
820,27.1,32.9,30.1
821,27.1,33.6,30.0
822,27.1,33.4,30.0
823,27.0,33.2,30.0
824,27.0,33.5,30.0
825,27.0,32.9,30.0
826,26.9,32.5,30.0
827,26.9,32.5,30.0
828,26.9,32.5,30.0
829,26.9,32.5,30.0
830,26.8,32.8,30.0
831,26.8,33.2,30.0
832,26.8,33.3,30.1
833,26.7,33.1,30.1
834,26.7,32.3,30.1
835,26.7,32.7,30.1
836,26.6,33.1,30.1
837,26.6,32.2,30.1
838,26.6,31.3,30.1
839,26.6,30.5,30.3
840,26.6,31.0,30.4
841,26.6,30.6,30.5
842,26.6,31.1,30.5
843,26.6,30.6,30.5
844,26.7,30.5,30.6
845,26.7,30.6,30.6
846,26.7,31.3,30.6
847,26.8,31.3,30.7
848,26.8,30.6,30.6
849,26.8,31.2,30.7
850,26.8,30.6,30.7
851,26.8,31.0,30.7
852,26.8,31.3,30.8
853,26.8,31.3,30.8
854,26.8,31.4,30.8
855,26.8,30.9,30.8
856,26.9,31.3,30.8
857,26.9,30.9,30.8
858,26.9,31.6,30.9
859,26.9,31.4,30.9
860,26.9,30.7,30.9
861,26.9,30.7,30.9
862,26.9,30.7,30.9
863,26.9,31.4,30.9
864,26.9,31.3,31.0
865,26.9,31.0,31.0
866,27.0,31.4,31.1
867,27.0,31.0,31.0
868,27.0,31.2,31.0
869,27.0,30.9,31.0
870,27.1,31.0,31.0
871,27.0,31.5,30.9
872,27.1,31.1,30.8
873,27.1,31.2,30.8
874,27.1,31.3,30.9
875,27.1,30.8,30.8
876,27.1,31.5,30.9
877,27.1,30.7,30.9
878,27.1,30.8,30.9
879,27.2,31.3,30.9
880,27.2,31.1,31.0
881,27.2,30.7,31.0
882,27.2,32.8,31.0
883,27.2,32.2,30.9
884,27.2,33.1,30.9
885,27.1,33.3,30.8
886,27.1,32.4,30.8
887,27.1,33.2,30.8
888,27.1,33.2,30.8
889,27.1,33.1,30.7
890,27.0,32.4,30.7
891,27.0,32.7,30.7
892,27.0,32.6,30.7
893,26.9,32.7,30.7
894,26.9,33.3,30.7
895,26.9,32.8,30.7
896,26.9,33.0,30.7
897,26.9,33.1,30.7
898,26.9,32.4,30.6
899,26.9,33.2,30.7
900,26.8,33.3,30.7
901,26.8,32.1,30.7
902,26.8,33.0,30.8
903,26.8,32.3,30.8
904,26.8,32.3,30.8
905,26.8,32.9,30.8
906,26.8,32.4,30.8
907,26.7,32.6,30.8
908,26.7,32.7,30.8
909,26.6,32.0,30.8
910,26.6,32.9,30.8
911,26.6,32.0,30.8
912,26.6,33.0,30.8
913,26.6,31.2,30.9
914,26.6,30.7,30.9
915,26.6,30.4,31.1
916,26.7,30.4,31.2
917,26.6,31.2,31.3
918,26.7,30.5,31.3
919,26.7,30.6,31.3
920,26.8,31.2,31.3
921,26.8,30.5,31.4
922,26.8,30.4,31.4
923,26.8,31.2,31.3
924,26.8,30.8,31.3
925,26.8,31.0,31.3
926,26.8,31.0,31.3
927,26.8,30.4,31.3
928,26.9,31.0,31.4
929,26.9,31.2,31.4
930,26.9,31.2,31.4
931,26.9,30.5,31.4
932,26.9,30.9,31.3
933,26.9,30.8,31.5
934,27.1,30.5,31.4
935,27.1,30.9,31.4
936,27.1,30.7,31.4
937,27.1,30.6,31.4
938,27.1,31.6,31.4
939,27.1,31.5,31.4
940,27.2,30.5,31.4
941,27.2,30.4,31.4
942,27.2,32.3,31.4
943,27.2,32.6,31.3
944,27.2,32.2,31.3
945,27.2,32.3,31.2
946,27.2,32.4,31.2
947,27.1,33.3,31.2
948,27.1,32.7,31.1
949,27.1,33.4,31.1
950,27.1,32.6,31.1
951,27.1,33.0,31.1
952,27.1,33.2,31.1
953,27.0,32.5,31.1
954,27.1,32.9,31.1
955,27.0,32.1,31.1
956,27.0,33.0,31.1
957,27.0,32.3,31.1
958,26.9,32.9,31.1
959,26.9,32.3,31.1
960,27.0,33.0,31.1
961,26.9,33.1,31.1
962,26.9,32.9,31.1
963,26.9,32.8,31.1
964,26.9,32.8,31.2
965,26.9,32.4,31.2
966,26.9,32.8,31.2
967,26.9,33.0,31.2
968,26.9,32.7,31.2
969,26.9,32.3,31.2
970,26.9,33.0,31.2
971,26.8,33.1,31.2
972,26.8,32.2,31.2
973,26.8,33.2,31.2
974,26.8,32.6,31.2
975,26.8,32.3,31.2
976,26.8,32.7,31.2
977,26.8,32.6,31.2
978,26.8,33.1,31.2
979,26.8,32.4,31.2
980,26.8,32.8,31.2
981,26.8,33.3,31.2
982,26.8,32.3,31.3
983,26.7,32.8,31.3
984,26.8,32.5,31.3
985,26.8,32.9,31.3
986,26.7,32.5,31.3
987,26.7,32.4,31.3
988,26.6,32.9,31.3
989,26.6,32.6,31.3
990,26.6,32.3,31.4
991,26.6,32.2,31.4
992,26.6,31.7,31.4
993,26.6,33.1,31.4
994,26.7,32.3,31.4
995,26.6,32.4,31.4
996,26.6,32.5,31.4
997,26.6,32.2,31.4
